1995/2000

, , Nom, Equipement, Nombre, Prix/unité, , Prix, Total

, , Hellebron, , 1, 310, , , , , , M, CC, CT, F, E, PV, I, A, Cd, Arm, Inv
, , , Deathsword, 1, 0
, , , Cursed Blade, 1, 0
, , , Amulet of Fire, 1, 0
, , , Rune of Khaine, 1, 0
, , , Witchbrew, 1, 0
, , , Cry of War, 1, 0
, , , Cauldron of Blood, 1, 190
, , , , , , , , 500


, , Sorceress, , 1, 140, , , , , , M, CC, CT, F, E, PV, I, A, Cd, Arm, Inv
, , , Hand weapon, 1, 0
, , , Level 2 Wizard, 1, 0
, , , Dispel scroll, 1, 0
, , , , , , , , 140


, , Darkshards, , 10, 13, , , , , , M, CC, CT, F, E, PV, I, A, Cd, Arm, Inv
, , , Musician, 1, 10
, , , Standard bearer, 1, 10
, , , Hand weapon, 10, 0
, , , Repeater crossbow, 10, 0
, , , Light armour, 10, 0
, , , Shield, 10, 0
, , , , , , , , 150


, , Witch Elves, , 25, 11, , , , , , M, CC, CT, F, E, PV, I, A, Cd, Arm, Inv
, , , Hag, 1, 10
, , , Musician, 1, 10
, , , Standard bearer, 1, 55
, , , Razor Standard, 1, 0
, , , Hand weapon (x2), 25, 0
, , , , , , , , 350


, , Cold One Knights, , 14, 30, , , , , , M, CC, CT, F, E, PV, I, A, Cd, Arm, Inv
, , , Musician, 1, 10
, , , Standard bearer, 1, 10
, , , Lance, 14, 0
, , , Hand weapon, 14, 0
, , , Shield, 14, 0
, , , Heavy armour, 14, 0
, , , , , , , , 440


, , Cold One Chariot, , 1, 110, , , , , , M, CC, CT, F, E, PV, I, A, Cd, Arm, Inv
, , , Scythes, 1, 0
, , , , , , , , 110


, , War Hydra, , 1, 180, , , , , , M, CC, CT, F, E, PV, I, A, Cd, Arm, Inv
, , , Fiery Breath, 1, 0
, , , , , , , , 180


, , Doomfire Warlocks, , 5, 25, , , , , , M, CC, CT, F, E, PV, I, A, Cd, Arm, Inv
, , , Hand weapon, 5, 0
, , , , 5, 0
, , , , , , , , 125


